model_name,loss_type,fold,run,with_title,with_keywords,num_trials,hpo_metric,f1_IAS,recall_IAS,precision_IAS,TN_IAS,FP_IAS,FN_IAS,TP_IAS,f1_SUA,recall_SUA,precision_SUA,TN_SUA,FP_SUA,FN_SUA,TP_SUA,f1_VA,recall_VA,precision_VA,TN_VA,FP_VA,FN_VA,TP_VA,f1_macro,f1_micro,f1_weighted,recall_macro,recall_micro,recall_weighted,precision_macro,precision_micro,precision_weighted,accuracy,MCC,kappa_IAS,kappa_SUA,kappa_VA,kappa_macro,kappa_weighted,roc_auc_macro,roc_auc_micro,roc_auc_weighted,AP_macro,AP_micro,AP_weighted,NDCG,roc_auc_IAS,AP_IAS,roc_auc_SUA,AP_SUA,roc_auc_VA,AP_VA
BiomedBERT-abs,BCE,1,1,True,False,30.0,eval_AP_weighted,0.9556737588652482,0.9659498207885304,0.9456140350877194,590,31,19,539,0.8505079825834543,0.9301587301587302,0.7834224598930482,783,81,22,293,0.7803992740471869,0.6554878048780488,0.9641255605381166,843,8,113,215,0.862193671831963,0.8842905405405406,0.880222259657014,0.8505321186084366,0.8717735220649458,0.8717735220649458,0.8977206851729614,0.897172236503856,0.9081298004177848,0.8676844783715013,0.8262774690639314,0.835356768032755,0.5661638911995982,0.6752461704220734,0.6922556098848088,0.7210253506982438,0.9762977704682982,0.9728743455795968,0.979211726297488,0.953126494591559,0.958593971480287,0.9607614926912416,0.0,0.991359756203141,0.9918977216693994,0.9735743680188124,0.933722610759566,0.963959187182941,0.9337591513457112
BiomedBERT-abs-ft,BCE,1,1,True,False,30.0,eval_AP_weighted,0.95829636202307,0.967741935483871,0.9490333919156416,592,29,18,540,0.8038147138964578,0.9365079365079364,0.7040572792362768,740,124,20,295,0.8557046979865772,0.7774390243902439,0.9514925373134328,838,13,73,255,0.8726052579687017,0.8872608872608873,0.8897603212538341,0.8938962987940172,0.9075770191507078,0.9075770191507078,0.8681944028217837,0.8678343949044586,0.8854523129784855,0.8464800678541137,0.827798029700267,0.8043785952656114,0.4411015070921985,0.616109635069967,0.6205299124759257,0.6576804256413014,0.970479300055464,0.9613959685421968,0.9745079991115904,0.955783659267266,0.944819730108814,0.962720661470289,0.0,0.9916021678527522,0.9914450135382424,0.9720017636684304,0.945843031305249,0.9478339686452092,0.9300629329583062
roberta-base,BCE,1,1,True,False,30.0,eval_AP_weighted,0.9358752166377816,0.967741935483871,0.906040268456376,565,56,18,540,0.8414985590778098,0.926984126984127,0.7704485488126649,777,87,23,292,0.8132635253054101,0.7103658536585366,0.9510204081632652,839,12,95,233,0.8635457670070005,0.8798017348203222,0.8776360143993062,0.8683639720421782,0.8867610324729392,0.8867610324729392,0.8758364084774354,0.8729508196721312,0.8827614126163181,0.8515691263782866,0.8173254688823819,0.8399115964638586,0.6056049009181732,0.7199519784050128,0.7218228252623482,0.7456956399108259,0.9631961791064152,0.9498416701835228,0.9676130047525716,0.9365994427807028,0.93076795694312,0.946118704588965,0.0,0.9864307193277118,0.9855847383623167,0.966222075249853,0.9238290237074992,0.9369357427416812,0.9003845662722924
biobert-v1,BCE,1,1,True,False,30.0,eval_AP_weighted,0.9470899470899472,0.9623655913978496,0.9322916666666666,582,39,21,537,0.8500727802037845,0.926984126984127,0.7849462365591398,784,80,23,292,0.8021390374331551,0.6859756097560976,0.965665236051502,843,8,103,225,0.8664339215756289,0.8849706129303107,0.8820572194158679,0.8584417760460248,0.8776019983347211,0.8776019983347211,0.8943010464257695,0.8924640135478408,0.902760209776038,0.8592027141645462,0.8266457794433922,0.8980941267989109,0.7890301296183373,0.7426730977582284,0.8099324513918256,0.8270422894656682,0.9732533237558632,0.9647769624057576,0.9760605576252862,0.957814218459479,0.9491603696684482,0.9634173067706996,0.0,0.9878765316664648,0.9869409747484488,0.9726263962375072,0.9554945942046392,0.959257043363618,0.9310070864253488
bert-base,BCE,1,1,True,False,30.0,eval_AP_weighted,0.9493333333333334,0.956989247311828,0.9417989417989416,588,33,24,534,0.8263305322128851,0.9365079365079364,0.7393483709273183,760,104,20,295,0.7863554757630161,0.6676829268292683,0.9563318777292577,841,10,109,219,0.8540064471030782,0.8747913188647746,0.8725617932533956,0.8537267035496776,0.8726061615320566,0.8726061615320566,0.8791597301518393,0.8769874476987448,0.8926689444305673,0.8413910093299406,0.8106677692473017,0.903110280664876,0.7523931467593439,0.7229875276171371,0.7928303183471191,0.8143874162353164,0.9498870470782012,0.9302131571293328,0.9564168579985336,0.9265141494486072,0.8879151078028669,0.937706871409874,0.0,0.9849069889587266,0.9845106911532272,0.9662165637860082,0.918571496877956,0.8985375884898684,0.8764602603146388
Ensemble,BCE,1,1,True,False,,,0.8808724832214765,0.9408602150537636,0.8280757097791798,512,109,33,525,0.6024096385542169,0.9523809523809524,0.4405286343612334,483,381,15,300,0.7816091954022989,0.725609756097561,0.8469750889679716,808,43,90,238,0.7549637723926641,0.7601001072577762,0.7807274753323199,0.8729503078440922,0.8850957535387177,0.8850957535387177,0.7051931443694617,0.6660401002506265,0.7315908368543427,0.5835453774385072,0.625167580518725,0.7600856376392902,0.3735236577059634,0.706175106572352,0.6132614673058685,0.6439743321697202,0.940087960229003,0.9068887371254548,0.9458161676410508,0.8883743218767445,0.8551312951309346,0.9045744758109956,0.0,0.9681979002533778,0.9699830996792254,0.9082194297472076,0.835576938764048,0.9438465506864234,0.8595629271869601
BiomedBERT-abs,BCE,2,1,True,False,30.0,eval_AP_weighted,0.942608695652174,0.9730700179533214,0.9139966273187184,578,51,15,542,0.8592375366568915,0.9272151898734176,0.8005464480874317,797,73,23,293,0.7832422586520947,0.6554878048780488,0.9728506787330315,852,6,113,215,0.86169616365372,0.881982360352793,0.8771486810155916,0.8519243375682626,0.8742714404662781,0.8742714404662781,0.895797918046394,0.8898305084745762,0.9002196683069016,0.863406408094435,0.8227162667438069,0.8887015177065767,0.8028604079371127,0.7211550999924922,0.8042390085453938,0.8203576245364098,0.9564309425723486,0.943382282548449,0.96137898812884,0.9268152492311942,0.9201193105421884,0.9365388434879308,0.0,0.9829571888923456,0.9766009433990878,0.9674232504001165,0.9037225210734268,0.9189123884245836,0.900122283221068
BiomedBERT-abs-ft,BCE,2,1,True,False,30.0,eval_AP_weighted,0.9658273381294964,0.9640933572710952,0.9675675675675676,611,18,20,537,0.851123595505618,0.9588607594936708,0.7651515151515151,777,93,13,303,0.8503401360544217,0.7621951219512195,0.9615384615384616,848,10,78,250,0.8890970232298453,0.9038142620232172,0.9041069509939677,0.8950497462386618,0.9075770191507078,0.9075770191507078,0.8980858480858481,0.9000825763831544,0.9126624723627222,0.8701517706576728,0.854512622684909,0.9356687916272936,0.7884138952470715,0.8018860761415924,0.8419895876719857,0.8603871280673768,0.9757811343176862,0.9696342709741598,0.9784474006525272,0.951661394004348,0.9406132118614868,0.9592024385581748,0.0,0.9898131313275468,0.9901328654905364,0.9767095882438528,0.931092432436951,0.9608206833816588,0.9337588840855564
roberta-base,BCE,2,1,True,False,30.0,eval_AP_weighted,0.9557522123893806,0.9694793536804308,0.9424083769633508,596,33,17,540,0.8579545454545454,0.9556962025316456,0.7783505154639175,784,86,14,302,0.8718801996672213,0.7987804878048781,0.9597069597069596,847,11,66,262,0.8951956525037158,0.906776180698152,0.9071143415115488,0.9079853480056516,0.919233971690258,0.919233971690258,0.8934886173780759,0.8946515397082658,0.903966787376409,0.8785834738617201,0.8584779818910843,0.9155099749521984,0.7988903358836617,0.828888247660662,0.8477628528321741,0.8611688155040038,0.9677156138808618,0.958004519639093,0.9711791002393998,0.9318526989165752,0.9203050549361006,0.9412487874676566,0.0,0.9858328600011989,0.9786081535659747,0.9668158009602792,0.8837107626552199,0.9504981806811076,0.933239180528531
biobert-v1,BCE,2,1,True,False,30.0,eval_AP_weighted,0.9553023663453112,0.9784560143626572,0.9332191780821918,590,39,12,545,0.8654970760233918,0.9367088607594936,0.8043478260869565,798,72,20,296,0.8770764119601329,0.8048780487804879,0.9635036496350364,848,10,64,264,0.8992919514429453,0.9105892047795632,0.9103093731895536,0.9066809746342128,0.9200666111573688,0.9200666111573688,0.9003568846013951,0.901305057096248,0.9075821751170284,0.8853288364249579,0.8644237476506643,0.9139173130292464,0.8114363136138032,0.8357180829159085,0.8536905698529861,0.8655964609955621,0.9809550860689727,0.975778210563464,0.9829461398116998,0.9561208373097771,0.9629943810006288,0.9628111599782904,0.0,0.9913030572023074,0.9905344314587622,0.979157573112178,0.9432571319125436,0.9724046278924328,0.9345709485580258
