,model_name,fold,data_type,kernel,run,with_title,f1_IAS,f1_SUA,f1_VA,f1_weighted,f1_macro,f1_micro,recall_IAS,recall_SUA,recall_VA,recall_weighted,recall_macro,recall_micro,precision_IAS,precision_SUA,precision_VA,precision_weighted,precision_macro,precision_micro,accuracy
0,SVM,0,MultiLabel,linear,0,False,0.7756410256410257,0.6332574031890661,0.5383411580594679,0.6631468073626838,0.6490798622965198,0.6693147964250248,0.6836158192090396,0.5072992700729927,0.41646489104116224,0.5533661740558292,0.5357933267743982,0.5533661740558292,0.8962962962962963,0.8424242424242424,0.7610619469026548,0.8383219703024402,0.8332608285410644,0.8467336683417085,0.9137788778877888
0,SVM,1,MultiLabel,linear,0,False,0.7697297297297298,0.5605700712589073,0.5779816513761468,0.6575019375627439,0.636093817454928,0.663,0.6716981132075471,0.4306569343065693,0.45652173913043476,0.5443349753694581,0.5196255955481838,0.5443349753694581,0.9012658227848102,0.8027210884353742,0.7875,0.8404281316151412,0.8304956370733948,0.8478260869565217,0.9135038503850385
0,SVM,2,MultiLabel,linear,0,False,0.7834602829162133,0.5672371638141809,0.5281803542673108,0.6480489322638304,0.6262926003325684,0.6567470497691124,0.6792452830188679,0.4233576642335766,0.3961352657004831,0.5254515599343186,0.49957940431764253,0.5254515599343186,0.9254498714652957,0.8592592592592593,0.7922705314009661,0.8652918463987223,0.858993220708507,0.8755129958960328,0.9128162816281629
0,SVM,3,MultiLabel,linear,0,False,0.7733619763694952,0.5517241379310345,0.5709876543209876,0.6548971986833032,0.6320245895405058,0.6619647355163728,0.6779661016949152,0.41025641025641024,0.4468599033816425,0.5394088669950738,0.5116941384443227,0.5394088669950738,0.9,0.8421052631578947,0.7905982905982906,0.8498377907633807,0.8442345179187284,0.8565840938722294,0.9146039603960396
0,SVM,4,MultiLabel,linear,0,False,0.7710583153347732,0.5320197044334976,0.5823170731707317,0.6533272685105027,0.6284650309796674,0.6599597585513078,0.672316384180791,0.3956043956043956,0.4613526570048309,0.5385878489326765,0.5097578122633392,0.5385878489326765,0.9037974683544304,0.8120300751879699,0.7892561983471075,0.8442961677653702,0.8350279139631693,0.8519480519480519,0.9137788778877888
0,SVM,0,MultiLabel,linear,1,False,0.7756410256410257,0.6332574031890661,0.5383411580594679,0.6631468073626838,0.6490798622965198,0.6693147964250248,0.6836158192090396,0.5072992700729927,0.41646489104116224,0.5533661740558292,0.5357933267743982,0.5533661740558292,0.8962962962962963,0.8424242424242424,0.7610619469026548,0.8383219703024402,0.8332608285410644,0.8467336683417085,0.9137788778877888
0,SVM,1,MultiLabel,linear,1,False,0.7697297297297298,0.5605700712589073,0.5779816513761468,0.6575019375627439,0.636093817454928,0.663,0.6716981132075471,0.4306569343065693,0.45652173913043476,0.5443349753694581,0.5196255955481838,0.5443349753694581,0.9012658227848102,0.8027210884353742,0.7875,0.8404281316151412,0.8304956370733948,0.8478260869565217,0.9135038503850385
0,SVM,2,MultiLabel,linear,1,False,0.7834602829162133,0.5672371638141809,0.5281803542673108,0.6480489322638304,0.6262926003325684,0.6567470497691124,0.6792452830188679,0.4233576642335766,0.3961352657004831,0.5254515599343186,0.49957940431764253,0.5254515599343186,0.9254498714652957,0.8592592592592593,0.7922705314009661,0.8652918463987223,0.858993220708507,0.8755129958960328,0.9128162816281629
0,SVM,3,MultiLabel,linear,1,False,0.7733619763694952,0.5517241379310345,0.5709876543209876,0.6548971986833032,0.6320245895405058,0.6619647355163728,0.6779661016949152,0.41025641025641024,0.4468599033816425,0.5394088669950738,0.5116941384443227,0.5394088669950738,0.9,0.8421052631578947,0.7905982905982906,0.8498377907633807,0.8442345179187284,0.8565840938722294,0.9146039603960396
0,SVM,4,MultiLabel,linear,1,False,0.7710583153347732,0.5320197044334976,0.5823170731707317,0.6533272685105027,0.6284650309796674,0.6599597585513078,0.672316384180791,0.3956043956043956,0.4613526570048309,0.5385878489326765,0.5097578122633392,0.5385878489326765,0.9037974683544304,0.8120300751879699,0.7892561983471075,0.8442961677653702,0.8350279139631693,0.8519480519480519,0.9137788778877888
